cluster_size,total_clusters_of_this_size,n_s
229,2254356,2.2543560000e-07
230,2234576,2.2345760000e-07
231,2212085,2.2120850000e-07
232,2192905,2.1929050000e-07
233,2172318,2.1723180000e-07
234,2152369,2.1523690000e-07
235,2133517,2.1335170000e-07
236,2114311,2.1143110000e-07
237,2093170,2.0931700000e-07
238,2072838,2.0728380000e-07
239,2056573,2.0565730000e-07
240,2034010,2.0340100000e-07
241,2018278,2.0182780000e-07
242,1998486,1.9984860000e-07
243,1981539,1.9815390000e-07
244,1963208,1.9632080000e-07
245,1948145,1.9481450000e-07
246,1929274,1.9292740000e-07
247,1912499,1.9124990000e-07
248,1896146,1.8961460000e-07
249,1879825,1.8798250000e-07
250,1861938,1.8619380000e-07
251,1844385,1.8443850000e-07
252,1833263,1.8332630000e-07
253,1814439,1.8144390000e-07
254,1798758,1.7987580000e-07
255,1782784,1.7827840000e-07
256,1769447,1.7694470000e-07
257,1752323,1.7523230000e-07
258,1736968,1.7369680000e-07
259,1722280,1.7222800000e-07
260,1708604,1.7086040000e-07
261,1692233,1.6922330000e-07
262,1681534,1.6815340000e-07
263,1667334,1.6673340000e-07
264,1651373,1.6513730000e-07
265,1638231,1.6382310000e-07
266,1623882,1.6238820000e-07
267,1608916,1.6089160000e-07
268,1597353,1.5973530000e-07
269,1585570,1.5855700000e-07
270,1570915,1.5709150000e-07
271,1557519,1.5575190000e-07
272,1547173,1.5471730000e-07
273,1534211,1.5342110000e-07
274,1523564,1.5235640000e-07
275,1511276,1.5112760000e-07
276,1495936,1.4959360000e-07
277,1487100,1.4871000000e-07
278,1472873,1.4728730000e-07
279,1461691,1.4616910000e-07
280,1450103,1.4501030000e-07
281,1439477,1.4394770000e-07
282,1426688,1.4266880000e-07
283,1414044,1.4140440000e-07
284,1406671,1.4066710000e-07
285,1395118,1.3951180000e-07
286,1385690,1.3856900000e-07
287,1375209,1.3752090000e-07
288,1363498,1.3634980000e-07
289,1353634,1.3536340000e-07
290,1342381,1.3423810000e-07
291,1333544,1.3335440000e-07
292,1321179,1.3211790000e-07
293,1311453,1.3114530000e-07
294,1301018,1.3010180000e-07
295,1292568,1.2925680000e-07
296,1284090,1.2840900000e-07
297,1275010,1.2750100000e-07
298,1267018,1.2670180000e-07
299,1252720,1.2527200000e-07
300,1245665,1.2456650000e-07
301,1234878,1.2348780000e-07
302,1227187,1.2271870000e-07
303,1216463,1.2164630000e-07
304,1207500,1.2075000000e-07
305,1201095,1.2010950000e-07
306,1190538,1.1905380000e-07
307,1183750,1.1837500000e-07
308,1175252,1.1752520000e-07
309,1166077,1.1660770000e-07
310,1158691,1.1586910000e-07
311,1148281,1.1482810000e-07
312,1143705,1.1437050000e-07
313,1133687,1.1336870000e-07
314,1124290,1.1242900000e-07
315,1115685,1.1156850000e-07
316,1108920,1.1089200000e-07
317,1101668,1.1016680000e-07
318,1093817,1.0938170000e-07
319,1086550,1.0865500000e-07
320,1078682,1.0786820000e-07
321,1070996,1.0709960000e-07
322,1064311,1.0643110000e-07
323,1057539,1.0575390000e-07
324,1049323,1.0493230000e-07
325,1043625,1.0436250000e-07
326,1033347,1.0333470000e-07
327,1027087,1.0270870000e-07
328,1023061,1.0230610000e-07
329,1012802,1.0128020000e-07
330,1007703,1.0077030000e-07
331,1000303,1.0003030000e-07
332,993350,9.9335000000e-08
333,986493,9.8649300000e-08
334,982231,9.8223100000e-08
335,974397,9.7439700000e-08
336,967602,9.6760200000e-08
337,960118,9.6011800000e-08
338,954953,9.5495300000e-08
339,948654,9.4865400000e-08
340,943471,9.4347100000e-08
341,936309,9.3630900000e-08
342,928911,9.2891100000e-08
343,921654,9.2165400000e-08
344,916757,9.1675700000e-08
345,911111,9.1111100000e-08
346,905421,9.0542100000e-08
347,899900,8.9990000000e-08
348,894490,8.9449000000e-08
349,888132,8.8813200000e-08
350,882137,8.8213700000e-08
351,878319,8.7831900000e-08
352,871935,8.7193500000e-08
353,866645,8.6664500000e-08
354,860514,8.6051400000e-08
355,854725,8.5472500000e-08
356,849195,8.4919500000e-08
357,843931,8.4393100000e-08
358,839649,8.3964900000e-08
359,833016,8.3301600000e-08
360,829037,8.2903700000e-08
361,822816,8.2281600000e-08
362,818609,8.1860900000e-08
363,812942,8.1294200000e-08
364,808127,8.0812700000e-08
365,803365,8.0336500000e-08
366,798244,7.9824400000e-08
367,793020,7.9302000000e-08
368,787991,7.8799100000e-08
369,783536,7.8353600000e-08
370,779218,7.7921800000e-08
371,773007,7.7300700000e-08
372,769072,7.6907200000e-08
373,764507,7.6450700000e-08
374,760055,7.6005500000e-08
375,754894,7.5489400000e-08
376,751098,7.5109800000e-08
377,746041,7.4604100000e-08
378,741099,7.4109900000e-08
379,737592,7.3759200000e-08
380,733892,7.3389200000e-08
381,729323,7.2932300000e-08
382,723334,7.2333400000e-08
383,719354,7.1935400000e-08
384,716378,7.1637800000e-08
385,712119,7.1211900000e-08
386,706749,7.0674900000e-08
387,702948,7.0294800000e-08
388,699407,6.9940700000e-08
389,694651,6.9465100000e-08
390,692189,6.9218900000e-08
391,688469,6.8846900000e-08
392,682348,6.8234800000e-08
393,678801,6.7880100000e-08
394,675679,6.7567900000e-08
395,671173,6.7117300000e-08
396,667276,6.6727600000e-08
397,663846,6.6384600000e-08
398,658209,6.5820900000e-08
399,657213,6.5721300000e-08
400,651277,6.5127700000e-08
401,649544,6.4954400000e-08
402,644473,6.4447300000e-08
403,642256,6.4225600000e-08
404,637700,6.3770000000e-08
405,633179,6.3317900000e-08
406,630269,6.3026900000e-08
407,626852,6.2685200000e-08
408,623952,6.2395200000e-08
409,620631,6.2063100000e-08
410,616134,6.1613400000e-08
411,614158,6.1415800000e-08
412,608953,6.0895300000e-08
413,607165,6.0716500000e-08
414,603526,6.0352600000e-08
415,599379,5.9937900000e-08
416,596808,5.9680800000e-08
417,593670,5.9367000000e-08
418,590558,5.9055800000e-08
419,586760,5.8676000000e-08
420,584673,5.8467300000e-08
421,580349,5.8034900000e-08
422,577532,5.7753200000e-08
423,574883,5.7488300000e-08
424,570709,5.7070900000e-08
425,568258,5.6825800000e-08
426,566139,5.6613900000e-08
427,563304,5.6330400000e-08
428,558886,5.5888600000e-08
429,557363,5.5736300000e-08
430,552803,5.5280300000e-08
431,549891,5.4989100000e-08
432,548095,5.4809500000e-08
433,546119,5.4611900000e-08
434,541999,5.4199900000e-08
435,539361,5.3936100000e-08
436,536246,5.3624600000e-08
437,533424,5.3342400000e-08
438,530373,5.3037300000e-08
439,527328,5.2732800000e-08
440,524709,5.2470900000e-08
441,520337,5.2033700000e-08
442,521699,5.2169900000e-08
443,517001,5.1700100000e-08
444,514686,5.1468600000e-08
445,511520,5.1152000000e-08
446,508389,5.0838900000e-08
447,507556,5.0755600000e-08
448,502476,5.0247600000e-08
449,502005,5.0200500000e-08
450,497649,4.9764900000e-08
451,495576,4.9557600000e-08
452,493699,4.9369900000e-08
453,491248,4.9124800000e-08
454,488029,4.8802900000e-08
455,486021,4.8602100000e-08
456,484557,4.8455700000e-08
457,481818,4.8181800000e-08
458,478427,4.7842700000e-08
459,476120,4.7612000000e-08
460,474828,4.7482800000e-08
461,472171,4.7217100000e-08
462,470428,4.7042800000e-08
463,466874,4.6687400000e-08
464,464317,4.6431700000e-08
465,462885,4.6288500000e-08
466,461954,4.6195400000e-08
467,458090,4.5809000000e-08
468,455853,4.5585300000e-08
469,453483,4.5348300000e-08
470,451311,4.5131100000e-08
471,448553,4.4855300000e-08
472,447212,4.4721200000e-08
473,444511,4.4451100000e-08
474,441457,4.4145700000e-08
475,440159,4.4015900000e-08
476,438260,4.3826000000e-08
477,435925,4.3592500000e-08
478,434188,4.3418800000e-08
479,432283,4.3228300000e-08
480,429243,4.2924300000e-08
481,427957,4.2795700000e-08
482,425947,4.2594700000e-08
483,424472,4.2447200000e-08
484,421897,4.2189700000e-08
485,419688,4.1968800000e-08
486,417212,4.1721200000e-08
487,415667,4.1566700000e-08
488,413368,4.1336800000e-08
489,411851,4.1185100000e-08
490,410728,4.1072800000e-08
491,407515,4.0751500000e-08
492,406059,4.0605900000e-08
493,404531,4.0453100000e-08
494,402294,4.0229400000e-08
495,400294,4.0029400000e-08
496,397635,3.9763500000e-08
497,396132,3.9613200000e-08
498,395837,3.9583700000e-08
499,393267,3.9326700000e-08
500,390906,3.9090600000e-08
501,389158,3.8915800000e-08
502,387712,3.8771200000e-08
503,386261,3.8626100000e-08
504,384135,3.8413500000e-08
505,382061,3.8206100000e-08
506,381005,3.8100500000e-08
507,378444,3.7844400000e-08
508,376828,3.7682800000e-08
509,374772,3.7477200000e-08
510,374234,3.7423400000e-08
511,371671,3.7167100000e-08
512,371059,3.7105900000e-08
513,369068,3.6906800000e-08
514,366262,3.6626200000e-08
515,366179,3.6617900000e-08
516,365147,3.6514700000e-08
517,362718,3.6271800000e-08
518,361629,3.6162900000e-08
519,359754,3.5975400000e-08
520,357213,3.5721300000e-08
521,355833,3.5583300000e-08
522,352372,3.5237200000e-08
523,352978,3.5297800000e-08
524,350478,3.5047800000e-08
525,348512,3.4851200000e-08
526,349602,3.4960200000e-08
527,346167,3.4616700000e-08
528,344531,3.4453100000e-08
529,343697,3.4369700000e-08
530,341713,3.4171300000e-08
531,340043,3.4004300000e-08
532,339092,3.3909200000e-08
533,337586,3.3758600000e-08
534,336190,3.3619000000e-08
535,334384,3.3438400000e-08
536,332934,3.3293400000e-08
537,331062,3.3106200000e-08
538,329671,3.2967100000e-08
539,328714,3.2871400000e-08
540,327229,3.2722900000e-08
541,325080,3.2508000000e-08
542,324085,3.2408500000e-08
543,322972,3.2297200000e-08
544,321217,3.2121700000e-08
545,318713,3.1871300000e-08
546,319641,3.1964100000e-08
547,317597,3.1759700000e-08
548,316347,3.1634700000e-08
549,314990,3.1499000000e-08
550,313578,3.1357800000e-08
551,312590,3.1259000000e-08
552,311504,3.1150400000e-08
553,309184,3.0918400000e-08
554,309034,3.0903400000e-08
555,307409,3.0740900000e-08
556,305640,3.0564000000e-08
557,304007,3.0400700000e-08
558,303737,3.0373700000e-08
559,302386,3.0238600000e-08
560,299883,2.9988300000e-08
561,299742,2.9974200000e-08
562,298645,2.9864500000e-08
563,297034,2.9703400000e-08
564,296302,2.9630200000e-08
565,294547,2.9454700000e-08
566,293210,2.9321000000e-08
567,292246,2.9224600000e-08
568,291845,2.9184500000e-08
569,289694,2.8969400000e-08
570,288649,2.8864900000e-08
571,287158,2.8715800000e-08
572,286228,2.8622800000e-08
573,285456,2.8545600000e-08
574,283647,2.8364700000e-08
575,282983,2.8298300000e-08
576,281781,2.8178100000e-08
577,280779,2.8077900000e-08
578,280076,2.8007600000e-08
579,279147,2.7914700000e-08
580,277293,2.7729300000e-08
581,276441,2.7644100000e-08
582,275002,2.7500200000e-08
583,274401,2.7440100000e-08
584,272248,2.7224800000e-08
585,271644,2.7164400000e-08
586,269579,2.6957900000e-08
587,269374,2.6937400000e-08
588,268410,2.6841000000e-08
589,267699,2.6769900000e-08
590,267118,2.6711800000e-08
591,264732,2.6473200000e-08
592,264396,2.6439600000e-08
593,262537,2.6253700000e-08
594,261852,2.6185200000e-08
595,261877,2.6187700000e-08
596,259854,2.5985400000e-08
597,259144,2.5914400000e-08
598,257784,2.5778400000e-08
599,256701,2.5670100000e-08
600,255913,2.5591300000e-08
601,255534,2.5553400000e-08
602,254282,2.5428200000e-08
603,253259,2.5325900000e-08
604,251798,2.5179800000e-08
605,251677,2.5167700000e-08
606,250345,2.5034500000e-08
607,249428,2.4942800000e-08
608,248409,2.4840900000e-08
609,246835,2.4683500000e-08
610,246444,2.4644400000e-08
611,245042,2.4504200000e-08
612,243866,2.4386600000e-08
613,244256,2.4425600000e-08
614,242108,2.4210800000e-08
615,241412,2.4141200000e-08
616,241075,2.4107500000e-08
617,240180,2.4018000000e-08
618,237868,2.3786800000e-08
619,238128,2.3812800000e-08
620,237178,2.3717800000e-08
621,236130,2.3613000000e-08
622,235294,2.3529400000e-08
623,234543,2.3454300000e-08
624,234134,2.3413400000e-08
625,233146,2.3314600000e-08
626,231831,2.3183100000e-08
627,231317,2.3131700000e-08
628,230205,2.3020500000e-08
629,229218,2.2921800000e-08
630,228550,2.2855000000e-08
631,227616,2.2761600000e-08
632,226911,2.2691100000e-08
633,225738,2.2573800000e-08
634,223932,2.2393200000e-08
635,223663,2.2366300000e-08
636,223575,2.2357500000e-08
637,222300,2.2230000000e-08
638,222125,2.2212500000e-08
639,221666,2.2166600000e-08
640,219965,2.1996500000e-08
641,219722,2.1972200000e-08
642,218294,2.1829400000e-08
643,217487,2.1748700000e-08
644,216990,2.1699000000e-08
645,215443,2.1544300000e-08
646,214181,2.1418100000e-08
647,214308,2.1430800000e-08
648,213805,2.1380500000e-08
649,212774,2.1277400000e-08
650,213326,2.1332600000e-08
651,211395,2.1139500000e-08
652,209607,2.0960700000e-08
653,209635,2.0963500000e-08
654,208924,2.0892400000e-08
655,208811,2.0881100000e-08
656,207119,2.0711900000e-08
657,206626,2.0662600000e-08
658,206089,2.0608900000e-08
659,205040,2.0504000000e-08
660,203643,2.0364300000e-08
661,204113,2.0411300000e-08
662,202926,2.0292600000e-08
663,202420,2.0242000000e-08
664,201633,2.0163300000e-08
665,201039,2.0103900000e-08
666,200488,2.0048800000e-08
667,198932,1.9893200000e-08
668,198036,1.9803600000e-08
669,198440,1.9844000000e-08
670,197126,1.9712600000e-08
671,196949,1.9694900000e-08
672,196082,1.9608200000e-08
673,195253,1.9525300000e-08
674,194653,1.9465300000e-08
675,194376,1.9437600000e-08
676,193305,1.9330500000e-08
677,192315,1.9231500000e-08
678,191978,1.9197800000e-08
679,191550,1.9155000000e-08
680,190408,1.9040800000e-08
681,189094,1.8909400000e-08
682,189961,1.8996100000e-08
683,188619,1.8861900000e-08
684,188416,1.8841600000e-08
685,187924,1.8792400000e-08
686,187331,1.8733100000e-08
687,186070,1.8607000000e-08
688,185372,1.8537200000e-08
689,184905,1.8490500000e-08
690,183532,1.8353200000e-08
691,183931,1.8393100000e-08
692,183078,1.8307800000e-08
693,181730,1.8173000000e-08
694,182137,1.8213700000e-08
695,180777,1.8077700000e-08
696,180191,1.8019100000e-08
697,179495,1.7949500000e-08
698,179242,1.7924200000e-08
699,178508,1.7850800000e-08
700,177855,1.7785500000e-08
701,177585,1.7758500000e-08
702,176836,1.7683600000e-08
703,176525,1.7652500000e-08
704,174943,1.7494300000e-08
705,175766,1.7576600000e-08
706,173448,1.7344800000e-08
707,174173,1.7417300000e-08
708,173707,1.7370700000e-08
709,172200,1.7220000000e-08
710,171835,1.7183500000e-08
711,171196,1.7119600000e-08
712,170389,1.7038900000e-08
713,169890,1.6989000000e-08
714,168785,1.6878500000e-08
715,168437,1.6843700000e-08
716,168213,1.6821300000e-08
717,168116,1.6811600000e-08
718,167474,1.6747400000e-08
719,166440,1.6644000000e-08
720,166105,1.6610500000e-08
721,165831,1.6583100000e-08
722,164661,1.6466100000e-08
723,164834,1.6483400000e-08
724,164584,1.6458400000e-08
725,163465,1.6346500000e-08
726,163103,1.6310300000e-08
727,162302,1.6230200000e-08
728,162127,1.6212700000e-08
729,161005,1.6100500000e-08
730,160045,1.6004500000e-08
731,161104,1.6110400000e-08
732,159575,1.5957500000e-08
733,158833,1.5883300000e-08
734,159108,1.5910800000e-08
735,157718,1.5771800000e-08
736,157857,1.5785700000e-08
737,157762,1.5776200000e-08
738,156703,1.5670300000e-08
739,156047,1.5604700000e-08
740,155909,1.5590900000e-08
741,155276,1.5527600000e-08
742,154237,1.5423700000e-08
743,154156,1.5415600000e-08
744,153969,1.5396900000e-08
745,153826,1.5382600000e-08
746,152522,1.5252200000e-08
747,152604,1.5260400000e-08
748,151349,1.5134900000e-08
749,151811,1.5181100000e-08
750,151516,1.5151600000e-08
751,150473,1.5047300000e-08
752,149824,1.4982400000e-08
753,149711,1.4971100000e-08
754,148679,1.4867900000e-08
755,148130,1.4813000000e-08
756,148029,1.4802900000e-08
757,147379,1.4737900000e-08
758,147070,1.4707000000e-08
759,146747,1.4674700000e-08
760,146280,1.4628000000e-08
761,146207,1.4620700000e-08
762,145103,1.4510300000e-08
763,145487,1.4548700000e-08
764,145053,1.4505300000e-08
765,143956,1.4395600000e-08
766,142874,1.4287400000e-08
767,142933,1.4293300000e-08
768,142581,1.4258100000e-08
769,143028,1.4302800000e-08
770,142272,1.4227200000e-08
771,142305,1.4230500000e-08
772,140136,1.4013600000e-08
773,139697,1.3969700000e-08
774,139633,1.3963300000e-08
775,139848,1.3984800000e-08
776,139251,1.3925100000e-08
777,138162,1.3816200000e-08
778,137944,1.3794400000e-08
779,137467,1.3746700000e-08
780,137637,1.3763700000e-08
781,136527,1.3652700000e-08
782,136374,1.3637400000e-08
783,136389,1.3638900000e-08
784,135891,1.3589100000e-08
785,135609,1.3560900000e-08
786,134773,1.3477300000e-08
787,134390,1.3439000000e-08
788,133263,1.3326300000e-08
789,133678,1.3367800000e-08
790,133959,1.3395900000e-08
791,132429,1.3242900000e-08
792,132400,1.3240000000e-08
793,131900,1.3190000000e-08
794,131946,1.3194600000e-08
795,131227,1.3122700000e-08
796,131179,1.3117900000e-08
797,130090,1.3009000000e-08
798,130161,1.3016100000e-08
799,129916,1.2991600000e-08
800,129600,1.2960000000e-08
801,129279,1.2927900000e-08
802,128690,1.2869000000e-08
803,127688,1.2768800000e-08
804,127843,1.2784300000e-08
805,127159,1.2715900000e-08
806,127148,1.2714800000e-08
807,127406,1.2740600000e-08
808,126223,1.2622300000e-08
809,125516,1.2551600000e-08
810,126154,1.2615400000e-08
811,125290,1.2529000000e-08
812,124137,1.2413700000e-08
813,124053,1.2405300000e-08
814,125051,1.2505100000e-08
815,123864,1.2386400000e-08
816,123323,1.2332300000e-08
817,122970,1.2297000000e-08
818,122691,1.2269100000e-08
819,122690,1.2269000000e-08
820,121615,1.2161500000e-08
821,121266,1.2126600000e-08
822,120860,1.2086000000e-08
823,121328,1.2132800000e-08
824,121034,1.2103400000e-08
825,119737,1.1973700000e-08
826,119578,1.1957800000e-08
827,119558,1.1955800000e-08
828,118377,1.1837700000e-08
829,118401,1.1840100000e-08
830,118328,1.1832800000e-08
831,118335,1.1833500000e-08
832,117252,1.1725200000e-08
833,117544,1.1754400000e-08
834,116835,1.1683500000e-08
835,116198,1.1619800000e-08
836,116382,1.1638200000e-08
837,116278,1.1627800000e-08
838,115977,1.1597700000e-08
839,115672,1.1567200000e-08
840,115102,1.1510200000e-08
841,114687,1.1468700000e-08
842,114058,1.1405800000e-08
843,114124,1.1412400000e-08
844,114221,1.1422100000e-08
845,112982,1.1298200000e-08
846,113448,1.1344800000e-08
847,113481,1.1348100000e-08
848,112295,1.1229500000e-08
849,111709,1.1170900000e-08
850,111800,1.1180000000e-08
851,111007,1.1100700000e-08
852,111070,1.1107000000e-08
853,111233,1.1123300000e-08
854,109779,1.0977900000e-08
855,110352,1.1035200000e-08
856,109995,1.0999500000e-08
857,109570,1.0957000000e-08
858,109098,1.0909800000e-08
859,107847,1.0784700000e-08
860,109136,1.0913600000e-08
861,108209,1.0820900000e-08
862,108331,1.0833100000e-08
863,107279,1.0727900000e-08
864,107592,1.0759200000e-08
865,107299,1.0729900000e-08
866,106546,1.0654600000e-08
867,107486,1.0748600000e-08
868,106446,1.0644600000e-08
869,106003,1.0600300000e-08
870,105916,1.0591600000e-08
871,105887,1.0588700000e-08
872,105215,1.0521500000e-08
873,104571,1.0457100000e-08
874,104368,1.0436800000e-08
875,103848,1.0384800000e-08
876,104252,1.0425200000e-08
877,103270,1.0327000000e-08
878,102778,1.0277800000e-08
879,102998,1.0299800000e-08
880,102729,1.0272900000e-08
881,102341,1.0234100000e-08
882,102327,1.0232700000e-08
883,102135,1.0213500000e-08
884,101751,1.0175100000e-08
885,101906,1.0190600000e-08
886,101107,1.0110700000e-08
887,101253,1.0125300000e-08
888,100706,1.0070600000e-08
889,100228,1.0022800000e-08
890,100029,1.0002900000e-08
891,100150,1.0015000000e-08
892,99493,9.9493000000e-09
893,99426,9.9426000000e-09
894,98781,9.8781000000e-09
895,98684,9.8684000000e-09
896,97921,9.7921000000e-09
897,97881,9.7881000000e-09
898,97919,9.7919000000e-09
899,97481,9.7481000000e-09
900,97481,9.7481000000e-09
901,97320,9.7320000000e-09
902,96887,9.6887000000e-09
903,96283,9.6283000000e-09
904,96077,9.6077000000e-09
905,95553,9.5553000000e-09
906,95738,9.5738000000e-09
907,95231,9.5231000000e-09
